회사명,"수수료
부과기준",기준일자,거래금액,구분,증권사지점개설계좌,증권사지점개설계좌,증권사지점개설계좌,증권사지점개설계좌,은행개설계좌,은행개설계좌,은행개설계좌,은행개설계좌,비고
회사명,"수수료
부과기준",기준일자,거래금액,구분,오프라인,온라인,온라인,온라인,오프라인,온라인,온라인,온라인,비고
회사명,"수수료
부과기준",기준일자,거래금액,구분,오프라인,HTS,ARS,스마트폰,오프라인,HTS,ARS,스마트폰,비고
현대차증권,/img/sub/ico_xls.gif,2011/11/07,100만원,변경전,"4,981.","3,081.","2,481.","1,981.","4,981.","3,081.","2,481.","1,981.",
유화증권,/img/sub/ico_pdf.gif,2011/11/18,100만원,변경전,"4,500.",800.,"2,500.",,"4,500.",800.,"2,500.",,
SK증권,/img/sub/ico_xls.gif,2011/11/18,100만원,변경전,"5,000.","2,500.","2,500.",500.,"5,000.",150.,"2,500.",500.,
부국증권,/img/sub/ico_hwp.gif,2011/11/18,100만원,변경전,"4,454.",954.,"1,954.","1,500.","4,454.",954.,"1,954.","1,500.",
IBK투자증권,/img/sub/ico_hwp.gif,2011/11/18,100만원,변경전,"5,000.","1,000.","2,500.","1,200.","5,000.","1,000.","2,500.","1,200.",
이베스트투자증권,/img/sub/ico_pdf.gif,2011/11/29,100만원,변경전,"3,900.",150.,"1,000.",150.,"3,900.",150.,"1,000.",150.,
하이투자증권,/img/sub/ico_hwp.gif,2011/12/01,100만원,변경전,"4,980.","2,380.","2,480.","2,380.","4,980.","2,380.","2,480.","2,380.",
흥국증권,/img/sub/ico_pdf.gif,2012/01/03,100만원,변경전,"5,000.",,,,,,,,
신영증권,/img/sub/ico_hwp.gif,2012/03/27,100만원,변경전,"4,500.","1,000.","2,500.","1,000.","4,500.","1,000.","2,500.",150.,
유화증권,/img/sub/ico_pdf.gif,2012/05/02,100만원,변경후,"4,490.",790.,"2,490.",,"4,490.",790.,"2,490.",,증권유관기관 수수료인하('12.5.2)부분 반영
유화증권,/img/sub/ico_pdf.gif,2012/05/02,100만원,변경율,-0.00222,-0.0125,-0.004,,-0.00222,-0.0125,-0.004,,
하이투자증권,/img/sub/ico_hwp.gif,2012/05/02,100만원,변경후,"4,972.","2,372.","2,472.","2,372.","4,972.","2,372.","2,472.","2,372.",유관수수료인하
하이투자증권,/img/sub/ico_hwp.gif,2012/05/02,100만원,변경율,-0.00161,-0.00336,-0.00323,-0.00336,-0.00161,-0.00336,-0.00323,-0.00336,
하나금융투자,/img/sub/ico_pdf.gif,2012/05/02,100만원,변경전,"4,970.","2,970.","2,970.","2,970.","4,970.",140.,140.,140.,증권유관기관 수수료 인하(‘12.5.2)부분 반영
